,loss,set
0,10.0072735951829,train
1,3.0088531385166393,valid
2,4.324448331928715,train
3,1.436170374017412,valid
4,1.2702835794868856,train
5,1.6859494192414188,valid
6,0.9483735040494009,train
7,1.5651971965499818,valid
8,0.851081012506251,train
9,1.3850181828859247,valid
10,0.7934917376125545,train
11,1.254201150666098,valid
12,0.7613861949484038,train
13,1.0951954334054799,valid
14,0.7290911066978607,train
15,0.8889198970831291,valid
16,0.7112577507794812,train
17,0.7702033330853985,valid
18,0.6956160750984103,train
19,0.8059726114647857,valid
20,0.6853928829851821,train
21,0.7895614975959616,valid
22,0.6769850112226207,train
23,0.8388651876364376,valid
24,0.6723652966580452,train
25,0.8728209893147273,valid
26,0.6674214154062514,train
27,0.9285889595443271,valid
28,0.6624948490372518,train
29,0.8526376480665451,valid
30,0.658881332539236,train
31,0.841151029691173,valid
32,0.6555092491518578,train
33,0.8323628039112408,valid
34,0.6519465118030713,train
35,0.8159748091638446,valid
36,0.6505323773570004,train
37,0.8127610525005808,valid
38,0.6481135620584726,train
39,0.7968063557029819,valid
40,0.6470750857486235,train
41,0.7810794280574889,valid
42,0.6458341565290401,train
43,0.7776768366484673,valid
44,0.6441312142509443,train
45,0.7906243235109972,valid
46,0.6417425564082688,train
47,0.7791142298508569,valid
48,0.6420939436312069,train
49,0.7756269699482383,valid
