,loss,set
0,11.435397776088179,train
1,0.9074825424792241,valid
2,1.9589055181798858,train
3,1.2832023980180334,valid
4,1.5806667302685242,train
5,1.0467731573666654,valid
6,1.4269591230039314,train
7,0.816827670680034,valid
8,1.3627302907349264,train
9,0.8349877735731243,valid
10,1.311660129928556,train
11,0.6248678427186823,valid
12,1.274749763799479,train
13,0.6233177741058862,valid
14,1.2458207947772295,train
15,0.6408299069185123,valid
16,1.2236050640812155,train
17,0.5519254223319806,valid
18,1.2063096018327317,train
19,0.578286790181817,valid
20,1.191861619776419,train
21,0.5137222100273272,valid
22,1.180282788287033,train
23,0.5002150849426067,valid
24,1.1705476949253766,train
25,0.45671918806803163,valid
26,1.162585865292109,train
27,0.4766980265478072,valid
28,1.1555827947223754,train
29,0.4412500494572527,valid
30,1.150320683474688,train
31,0.4577517547072883,valid
32,1.1454395564588498,train
33,0.45916651010115056,valid
