,loss,set
0,7.076804111172245,train
1,1.7946392518551861,valid
2,2.4201637293266254,train
3,1.6704654740065934,valid
4,2.1649686391411738,train
5,1.2504256442465778,valid
6,2.074117868988774,train
7,1.0354664221063046,valid
8,2.0213324663515224,train
9,0.8715398506314647,valid
10,1.9865877920202482,train
11,0.8461680143031706,valid
12,1.9617255878976796,train
13,0.8259400925595581,valid
14,1.9435417181305124,train
15,0.8100204962045064,valid
16,1.9288453145510898,train
17,0.8278287402240099,valid
18,1.9178557655796313,train
19,0.8043586491609204,valid
20,1.9085574796370948,train
21,0.8208424015538995,valid
22,1.9004361865102042,train
23,0.7976780080450139,valid
24,1.8934691284224217,train
25,0.80292268897218,valid
26,1.887518529945104,train
27,0.8000095976708815,valid
28,1.8821944057390196,train
29,0.8209001734111605,valid
30,1.878278969218312,train
31,0.8093994985090509,valid
32,1.8744043514345123,train
33,0.794806776572442,valid
34,1.8710715173320727,train
35,0.8116698183655827,valid
36,1.8676905418618048,train
37,0.7850597568503467,valid
